subject,rt,Happy,Calm,Sad,AngryStressful,Familiar,title,Condition,Track_ID,X1,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,listMeds,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76
4,23543,5,6,5,2,5,onMusic,Melody,17,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,16203,5,5,5,3,8,thatsAll,Lyrics,15,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,18429,3,4,5,3,1,dream,Melody,27,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,16927,2,2,5,6,1,theCage,Lyrics,14,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,10660,5,7,6,3,1,everyTimeWeSayGoodbye,Melody,23,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,12333,3,4,6,6,1,toThisWeveCome,Melody,29,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,13140,5,4,5,3,3,noMoreMissNice,Lyrics,16,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,11227,5,6,5,2,3,bambi,Lyrics,8,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,14953,5,5,6,3,2,dancinInTheMoonlightC,Melody,19,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,11620,6,5,5,1,5,takeYouAb,Lyrics,4,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
