"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":82308},{""page_index"":1,""viewing_time"":19212}]","101520","instructions","0","101528","0.0-0.0","012","","",""
"","10651","audio-button-response","1","112182","0.0-1.0","012","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":12313}]","12313","instructions","2","124499","0.0-2.0","012","","",""
"","null","audio-button-response","3","161735","0.0-3.0-0.0","012","sound/takeYouAb_Lyrics_04.mp3","null",""
"","38139","survey-likert","4","199926","0.0-3.0-1.0","012","","","{""Q0"":5,""Q1"":7,""Q2"":5,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","5","235673","0.0-3.0-0.1","012","sound/toThisWeveCome_Melody_29.mp3","null",""
"","14848","survey-likert","6","250526","0.0-3.0-1.1","012","","","{""Q0"":2,""Q1"":1,""Q2"":6,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","7","278818","0.0-3.0-0.2","012","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","19434","survey-likert","8","298257","0.0-3.0-1.2","012","","","{""Q0"":5,""Q1"":8,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","9","332511","0.0-3.0-0.3","012","sound/willowSong_Lyrics_06.mp3","null",""
"","15942","survey-likert","10","348458","0.0-3.0-1.3","012","","","{""Q0"":1,""Q1"":5,""Q2"":8,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","11","381225","0.0-3.0-0.4","012","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","15797","survey-likert","12","397026","0.0-3.0-1.4","012","","","{""Q0"":6,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","13","435717","0.0-3.0-0.5","012","sound/thatsAll_Lyrics_15.mp3","null",""
"","16137","survey-likert","14","451858","0.0-3.0-1.5","012","","","{""Q0"":5,""Q1"":3,""Q2"":3,""Q3"":1,""Q4"":8}"
"","null","audio-button-response","15","483129","0.0-3.0-0.6","012","sound/theCrucifixion_Melody_21.mp3","null",""
"","20789","survey-likert","16","503969","0.0-3.0-1.6","012","","","{""Q0"":0,""Q1"":7,""Q2"":8,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","17","541206","0.0-3.0-0.7","012","sound/bambi_Lyrics_08.mp3","null",""
"","15076","survey-likert","18","556284","0.0-3.0-1.7","012","","","{""Q0"":5,""Q1"":5,""Q2"":3,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","19","587556","0.0-3.0-0.8","012","sound/onMusic_Melody_17.mp3","null",""
"","17724","survey-likert","20","605285","0.0-3.0-1.8","012","","","{""Q0"":6,""Q1"":6,""Q2"":2,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","21","642521","0.0-3.0-0.9","012","sound/silentMoon_Lyrics_10.mp3","null",""
"","11345","survey-likert","22","653871","0.0-3.0-1.9","012","","","{""Q0"":4,""Q1"":7,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","23","688313","0.0-3.0-0.10","012","sound/theCage_Lyrics_14.mp3","null",""
"","8583","survey-likert","24","696903","0.0-3.0-1.10","012","","","{""Q0"":4,""Q1"":5,""Q2"":5,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","25","732647","0.0-3.0-0.11","012","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","14432","survey-likert","26","747083","0.0-3.0-1.11","012","","","{""Q0"":8,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","27","785822","0.0-3.0-0.12","012","sound/thatsAll_Melody_31.mp3","null",""
"","16601","survey-likert","28","802427","0.0-3.0-1.12","012","","","{""Q0"":6,""Q1"":3,""Q2"":0,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","29","833941","0.0-3.0-0.13","012","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","11364","survey-likert","30","845308","0.0-3.0-1.13","012","","","{""Q0"":2,""Q1"":3,""Q2"":3,""Q3"":5,""Q4"":2}"
"","null","audio-button-response","31","879516","0.0-3.0-0.14","012","sound/goognightMoon_Melody_25.mp3","null",""
"","18919","survey-likert","32","898436","0.0-3.0-1.14","012","","","{""Q0"":3,""Q1"":5,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","33","935668","0.0-3.0-0.15","012","sound/dream_Melody_27.mp3","null",""
"","22822","survey-likert","34","958492","0.0-3.0-1.15","012","","","{""Q0"":5,""Q1"":5,""Q2"":3,""Q3"":2,""Q4"":2}"
"","null","audio-button-response","35","992750","0.0-3.0-0.16","012","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","13933","survey-likert","36","1006686","0.0-3.0-1.16","012","","","{""Q0"":1,""Q1"":6,""Q2"":7,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","37","1043955","0.0-4.0-0.0","012","sound/dream_Lyrics_11.mp3","null",""
"","11396","survey-likert","38","1055354","0.0-4.0-1.0","012","","","{""Q0"":6,""Q1"":8,""Q2"":7,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","39","1092591","0.0-4.0-0.1","012","sound/silentMoon_Melody_26.mp3","null",""
"","11425","survey-likert","40","1104020","0.0-4.0-1.1","012","","","{""Q0"":7,""Q1"":8,""Q2"":1,""Q3"":0,""Q4"":3}"
"","null","audio-button-response","41","1139766","0.0-4.0-0.2","012","sound/toThisWeveCome_Lyrics_13.mp3","null",""
