"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"73106","32","text","0","73111","0.0-0.0","007",""
"2840","32","text","1","76958","0.0-1.0","007",""
"1269","32","text","2","79235","0.0-2.0","007",""
"72049","","survey-likert","3","152316","0.0-3.0","007","{""Q0"":""5"",""Q1"":""5"",""Q2"":""0"",""Q3"":""5"",""Q4"":""6"",""Q5"":""4"",""Q6"":""6"",""Q7"":""4"",""Q8"":""1"",""Q9"":""4""}"
"43169","","survey-likert","4","196514","0.0-4.0","007","{""Q0"":""0"",""Q1"":""6"",""Q2"":""0"",""Q3"":""4"",""Q4"":""5"",""Q5"":""6"",""Q6"":""5"",""Q7"":""6"",""Q8"":""6"",""Q9"":""6""}"
"44441","","survey-likert","5","241976","0.0-5.0","007","{""Q0"":""2"",""Q1"":""6"",""Q2"":""1"",""Q3"":""6"",""Q4"":""4"",""Q5"":""6"",""Q6"":""0"",""Q7"":""5"",""Q8"":""5"",""Q9"":""5"",""Q10"":""6""}"
"35156","","survey-likert","6","278149","0.0-6.0","007","{""Q0"":""5"",""Q1"":""4"",""Q2"":""6"",""Q3"":""6"",""Q4"":""5"",""Q5"":""6"",""Q6"":""3""}"
"14162","","survey-text","7","293337","0.0-7.0","007","{""Q0"":""Piano""}"
"10505","32","text","8","304852","0.0-8.0","007",""
"51592","","survey-likert","9","357467","0.0-9.0","007","{""Q0"":""3"",""Q1"":""4"",""Q2"":""2"",""Q3"":""6"",""Q4"":""6"",""Q5"":""6"",""Q6"":""4"",""Q7"":""3"",""Q8"":""6"",""Q9"":""3"",""Q10"":""5"",""Q11"":""6"",""Q12"":""4"",""Q13"":""6""}"
"16085","","survey-likert","10","374570","0.0-10.0","007","{""Q0"":""1"",""Q1"":""1"",""Q2"":""7""}"
"34701","","survey-likert","11","410292","0.0-11.0","007","{""Q0"":""1"",""Q1"":""4"",""Q2"":""0"",""Q3"":""1"",""Q4"":""4"",""Q5"":""0"",""Q6"":""1"",""Q7"":""4"",""Q8"":""0""}"
"8996","","survey-text","12","420304","0.0-12.0","007","{""Q0"":""26"",""Q1"":""Male""}"
"7917","","survey-likert","13","429230","0.0-13.0","007","{""Q0"":""1""}"
"9984","","survey-text","14","440227","0.0-14.0","007","{""Q0"":""N/A""}"
"54157","32","text","15","495393","0.0-15.0","007",""
